ContractAddress,TokenName,TokenSymbol,holder count,transfer count,# of times appears in list,notes
0x420b595d8b648971b3bfcf46e66544c384860536,VenmoCash,VMO,1,6,2,
0xdeeb40536e94be7226b77fb89d7d3cd65a82fb85,Zoom Protocol,ZOM,1,9,2,
0xe670848d54788997942ecf938cd23b09550bae73,TARO,TARO,1,4,2,
0xf28fec34928a1dc19b650104ae082665b66f720e,ETH/BTC Long-Only Alpha,XTF.SWCEBL,1,4,2,
0x030385efc63ebda6021d9098b1fcc422547d83d3,Tacos @ Taconomics.io,$TACO,2,5,2,
0x03bb9bbf0423e44370e88ec5fc31eecf4e2b4ac2,STVKE.Network,STV,2,9,2,
0x05e850909664a3cf926ca4777c3ec1577d36ec18,OnFlow,Flow,2,8,2,
0x06ca771a689d6d5f5e435be2ef1d1ffc6bdb3b4c,Wing Token,WING,2,8,2,
0x08a958bdc9e0beb0c3ee2ec6e9c0013f14ce66e5,Harold Returns,KEKW,2,6,2,
0x09e17ad4895a2dd03fc521b7fd0f6072ec35166a,SKALE Token,SKALE,2,7,2,
0x0a96945a37e02b07c80ac386af80ee6a709c3ca4,PotatoToken (POTATO),PTT,2,6,2,
0x0b7d947978290fe4fb7e3cd0ec590c56b065299c,onbuff.io,ONIT,2,10,2,
0x0ba54510d3b95ba4173a2c4c86be27561bb36678,Ropsten Test Network,ROP,2,5,2,
0x0bb8286ae679348402cdf13329e9d211ee795c55,BFDX LEO-D,LEOD,2,14,2,
0x0be258fbc89e79bf740e3be5c192dfa8c3e24026,EX.Chain,EXC,2,10,2,
0x0c71610d0bfac6687bc7bea42b599f0b4609cd00,ySWIPE,YSXP,2,6,2,
0x0cdb8a1edf71d46367b453ec6742664c76c852d3,WVR,WVR,2,8,2,
0x0e260d9a1d12d50dc10539e4e74f5ff2844c7da4,ERC,ERC,2,4,2,
0x106fd600a65bb9b29fab7164776507424edc4665,Dipper Network,DIP,2,8,2,
0x1164bfc5cb6df85be0e4ae320452e9f42619f398,LAYER,LAYER,2,18,2,
0x14734882eb4d503236a6d560d24ca2aebb2d586d,kyeUSD,kyeUSD,2,43,2,
0x1683c5fde2522b1683ff6f2ab71aff4ea5013f33,Once,ONCE,2,4,2,
0x180f07834e2393d5745d83699f1665ab8b6b2fa4,MILL PLATFORM,MILL,2,9,2,
0x18a97d57647724e15d69b10a01c4805ce0273234,Kenysians Network,KEN,2,7,2,
0x1a3d2d5359f9a0ec0a28414f028707ba77b2009f,AGA Token,AGA,2,8,2,
0x1a9b2f47433cbaacf63dae98a47532f60c45e76f,ETH,ETH,2,5,2,
0x1b6e29befba4d24d9f609d26e2bda3d101646bdc,BurgerSwap,BURGER,2,14,2,
0x1e184875b1da58bd2a56e8126e7d64a3433aca34,EVC,EVC,2,11,2,
0x1e420ae1eeb9b20df18ad59eff6ec4aaa729bf69,YFV,YFV,2,9,2,
0x20ec8f993f4b277af49c6635048fb244828452ce,YMPL,YMPL,2,5,2,
0x20f6532c6949da995de1b58927aa21462140d911,TESTER TOKENS,TESTN,2,6,2,
0x22f8c4e3b78f650e214452a2918efdf61fc13553,Dream country,DC,2,6,2,
0x2385769fc7b9447960120af845341a803ca78561,memes,MEMES,2,4,2,
0x262d2562ff1f33b8e01ec0fec6258439481144b1,yearn.finance,XYF,2,8,2,
0x2734e7cde55a856b8ecbe33dc916dbc79caab03b,Hull Network,HULL,2,18,2,
0x274c1e911e77019db2e314a819dfe1b34c748ca5,è”ç³»å¸,LXZ,2,5,2,
0x28f886fa1751e623ff4d8422a230d8b49879bf61,Haven,XHV,2,6,2,
0x29c7bdea5796f3baec87827974359719d8c441d9,Wilderness Project,WILD,2,8,2,
